r(km) M(Msun) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.1935517262E+01 1.4989029099E+00 8.6713314406E-03 6.9279660348E-03 0.0000000000E+00 0.00692797 0.993072 4.9018286016E+00 -3.9520949474E+01 4.5716078108E+01 -1.0565836985E+02
1.1940827425E+01 1.4989708661E+00 8.2469867075E-03 6.6994191990E-03 0.0000000000E+00 0.00669942 0.993301 4.7833582118E+00 -3.9064689704E+01 4.5141347948E+01 -1.0565836985E+02
1.1946081812E+01 1.4990348685E+00 7.8432720542E-03 6.4812415491E-03 0.0000000000E+00 0.00648124 0.993519 4.6663165390E+00 -3.8619187647E+01 4.4578804219E+01 -1.0565836985E+02
1.1951277664E+01 1.4990951069E+00 7.4591943277E-03 6.2730080929E-03 0.0000000000E+00 0.00627301 0.993727 4.5507331831E+00 -3.8184411835E+01 4.4028445051E+01 -1.0565836985E+02
1.1956412408E+01 1.4991517655E+00 7.0938078039E-03 6.0743065636E-03 0.0000000000E+00 0.00607431 0.993926 4.4366361293E+00 -3.7760309603E+01 4.3490245765E+01 -1.0565836985E+02
1.1961483661E+01 1.4992050232E+00 6.7462118715E-03 5.8847375543E-03 0.0000000000E+00 0.00588474 0.994115 4.3240515943E+00 -3.7346808529E+01 4.2964160156E+01 -1.0565836985E+02
1.1966489235E+01 1.4992550531E+00 6.4155488473E-03 5.7039145802E-03 0.0000000000E+00 0.00570391 0.994296 4.2130038994E+00 -3.6943817850E+01 4.2450121782E+01 -1.0565836985E+02
1.1971427139E+01 1.4993020225E+00 6.1010019130E-03 5.5314640774E-03 0.0000000000E+00 0.00553146 0.994469 4.1035153667E+00 -3.6551229837E+01 4.1948045236E+01 -1.0565836985E+02
1.1976295579E+01 1.4993460930E+00 5.8017931628E-03 5.3670253456E-03 0.0000000000E+00 0.00536703 0.994633 3.9956062389E+00 -3.6168921138E+01 4.1457827410E+01 -1.0565836985E+02
1.1981092959E+01 1.4993874203E+00 5.5171817528E-03 5.2102504419E-03 0.0000000000E+00 0.00521025 0.99479 3.8892946188E+00 -3.5796754084E+01 4.0979348735E+01 -1.0565836985E+02
1.1985817873E+01 1.4994261542E+00 5.2464621458E-03 5.0608040318E-03 0.0000000000E+00 0.0050608 0.994939 3.7845964283E+00 -3.5434577942E+01 4.0512474403E+01 -1.0565836985E+02
1.1990469106E+01 1.4994624385E+00 4.9889624441E-03 4.9183632038E-03 0.0000000000E+00 0.00491836 0.995082 3.6815253846E+00 -3.5082230135E+01 4.0057055552E+01 -1.0565836985E+02
1.1995045624E+01 1.4994964110E+00 4.7440428047E-03 4.7826172532E-03 0.0000000000E+00 0.00478262 0.995217 3.5800929926E+00 -3.4739537409E+01 3.9612930434E+01 -1.0565836985E+02
1.1999546571E+01 1.4995282038E+00 4.5110939313E-03 4.6532674385E-03 0.0000000000E+00 0.00465327 0.995347 3.4803085507E+00 -3.4406316961E+01 3.9179925544E+01 -1.0565836985E+02
1.2003971264E+01 1.4995579430E+00 4.2895356394E-03 4.5300267178E-03 0.0000000000E+00 0.00453003 0.99547 3.3821791712E+00 -3.4082377519E+01 3.8757856723E+01 -1.0565836985E+02
1.2008319179E+01 1.4995857490E+00 4.0788154895E-03 4.4126194661E-03 0.0000000000E+00 0.00441262 0.995587 3.2857098100E+00 -3.3767520383E+01 3.8346530226E+01 -1.0565836985E+02
1.2012589953E+01 1.4996117365E+00 3.8784074842E-03 4.3007811788E-03 0.0000000000E+00 0.00430078 0.995699 3.1909033088E+00 -3.3461540413E+01 3.7945743755E+01 -1.0565836985E+02
1.2016783369E+01 1.4996360148E+00 3.6878108276E-03 4.1942581650E-03 0.0000000000E+00 0.00419426 0.995806 3.0977604448E+00 -3.3164226986E+01 3.7555287463E+01 -1.0565836985E+02
1.2020899350E+01 1.4996586877E+00 3.5065487416E-03 4.0928072322E-03 0.0000000000E+00 0.00409281 0.995907 3.0062799887E+00 -3.2875364898E+01 3.7174944919E+01 -1.0565836985E+02
1.2024937956E+01 1.4996798536E+00 3.3341673374E-03 3.9961953657E-03 0.0000000000E+00 0.0039962 0.996004 2.9164587693E+00 -3.2594735234E+01 3.6804494036E+01 -1.0565836985E+02
1.2028899368E+01 1.4996996059E+00 3.1702345396E-03 3.9041994047E-03 0.0000000000E+00 0.0039042 0.996096 2.8282917442E+00 -3.2322116190E+01 3.6443707967E+01 -1.0565836985E+02
1.2032783889E+01 1.4997180332E+00 3.0143390597E-03 3.8166057175E-03 0.0000000000E+00 0.00381661 0.996183 2.7417720745E+00 -3.2057283855E+01 3.6092355962E+01 -1.0565836985E+02
1.2036591933E+01 1.4997352190E+00 2.8660894170E-03 3.7332098766E-03 0.0000000000E+00 0.00373321 0.996267 2.6568912040E+00 -3.1800012953E+01 3.5750204190E+01 -1.0565836985E+02
1.2040324017E+01 1.4997512425E+00 2.7251130049E-03 3.6538163366E-03 0.0000000000E+00 0.00365382 0.996346 2.5736389406E+00 -3.1550077543E+01 3.5417016516E+01 -1.0565836985E+02
1.2043980758E+01 1.4997661784E+00 2.5910552000E-03 3.5782381141E-03 0.0000000000E+00 0.00357824 0.996422 2.4920035404E+00 -3.1307251680E+01 3.5092555253E+01 -1.0565836985E+02
1.2047562863E+01 1.4997800970E+00 2.4635785123E-03 3.5062964726E-03 0.0000000000E+00 0.0035063 0.996494 2.4119717929E+00 -3.1071310034E+01 3.4776581859E+01 -1.0565836985E+02
1.2051071128E+01 1.4997930647E+00 2.3423617745E-03 3.4378206127E-03 0.0000000000E+00 0.00343782 0.996562 2.3335291067E+00 -3.0842028471E+01 3.4468857610E+01 -1.0565836985E+02
1.2054506431E+01 1.4998051440E+00 2.2270993687E-03 3.3726473675E-03 0.0000000000E+00 0.00337265 0.996627 2.2566595956E+00 -3.0619184597E+01 3.4169144225E+01 -1.0565836985E+02
1.2057869726E+01 1.4998163937E+00 2.1175004890E-03 3.3106209046E-03 0.0000000000E+00 0.00331062 0.996689 2.1813461637E+00 -3.0402558259E+01 3.3877204455E+01 -1.0565836985E+02
1.2061162040E+01 1.4998268690E+00 2.0132884369E-03 3.2515924359E-03 0.0000000000E+00 0.00325159 0.996748 2.1075705889E+00 -3.0191932010E+01 3.3592802632E+01 -1.0565836985E+02
1.2064384471E+01 1.4998366220E+00 1.9141999504E-03 3.1954199331E-03 0.0000000000E+00 0.00319542 0.996805 2.0353136053E+00 -2.9987091542E+01 3.3315705180E+01 -1.0565836985E+02
1.2067538186E+01 1.4998457014E+00 1.8199845629E-03 3.1419678524E-03 0.0000000000E+00 0.00314197 0.996858 1.9645549820E+00 -2.9787826070E+01 3.3045681085E+01 -1.0565836985E+02
1.2070624413E+01 1.4998541530E+00 1.7304039914E-03 3.0911068653E-03 0.0000000000E+00 0.00309111 0.996909 1.8952735994E+00 -2.9593928693E+01 3.2782502325E+01 -1.0565836985E+02
1.2073644446E+01 1.4998620196E+00 1.6452315519E-03 3.0427135981E-03 0.0000000000E+00 0.00304271 0.996957 1.8274475210E+00 -2.9405196714E+01 3.2525944268E+01 -1.0565836985E+02
1.2076599640E+01 1.4998693415E+00 1.5642516023E-03 2.9966703789E-03 0.0000000000E+00 0.00299667 0.997003 1.7610540608E+00 -2.9221431922E+01 3.2275786016E+01 -1.0565836985E+02
1.2079491412E+01 1.4998761565E+00 1.4872590080E-03 2.9528649917E-03 0.0000000000E+00 0.00295286 0.997047 1.6960698444E+00 -2.9042440846E+01 3.2031810723E+01 -1.0565836985E+02
1.2082321239E+01 1.4998824998E+00 1.4140586321E-03 2.9111904383E-03 0.0000000000E+00 0.00291119 0.997089 1.6324708640E+00 -2.8868034970E+01 3.1793805866E+01 -1.0565836985E+02
1.2085090655E+01 1.4998884044E+00 1.3444648469E-03 2.8715447074E-03 0.0000000000E+00 0.00287154 0.997128 1.5702325248E+00 -2.8698030918E+01 3.1561563475E+01 -1.0565836985E+02
1.2087801256E+01 1.4998939014E+00 1.2783010655E-03 2.8338305500E-03 0.0000000000E+00 0.00283383 0.997166 1.5093296827E+00 -2.8532250602E+01 3.1334880317E+01 -1.0565836985E+02
1.2090454696E+01 1.4998990195E+00 1.2153992921E-03 2.7979552620E-03 0.0000000000E+00 0.00279796 0.997202 1.4497366705E+00 -2.8370521336E+01 3.1113558039E+01 -1.0565836985E+02
1.2093052683E+01 1.4999037858E+00 1.1555996904E-03 2.7638304723E-03 0.0000000000E+00 0.00276383 0.997236 1.3914273114E+00 -2.8212675917E+01 3.0897403261E+01 -1.0565836985E+02
1.2095596978E+01 1.4999082255E+00 1.0987501675E-03 2.7313719368E-03 0.0000000000E+00 0.00273137 0.997269 1.3343749172E+00 -2.8058552665E+01 3.0686227615E+01 -1.0565836985E+02
1.2098089390E+01 1.4999123622E+00 1.0447059723E-03 2.7004993382E-03 0.0000000000E+00 0.0027005 0.9973 1.2785522687E+00 -2.7907995431E+01 3.0479847732E+01 -1.0565836985E+02
1.2100531768E+01 1.4999162177E+00 9.9332930880E-04 2.6711360902E-03 0.0000000000E+00 0.00267114 0.997329 1.2239315757E+00 -2.7760853559E+01 3.0278085167E+01 -1.0565836985E+02
1.2102925988E+01 1.4999198126E+00 9.4448896041E-04 2.6432091461E-03 0.0000000000E+00 0.00264321 0.997357 1.1704844125E+00 -2.7616981809E+01 3.0080766254E+01 -1.0565836985E+02
1.2105273942E+01 1.4999231657E+00 8.9805992714E-04 2.6166488130E-03 0.0000000000E+00 0.00261665 0.997383 1.1181816249E+00 -2.7476240239E+01 2.9887721896E+01 -1.0565836985E+02
1.2107577509E+01 1.4999262947E+00 8.5392307375E-04 2.5913885691E-03 0.0000000000E+00 0.00259139 0.997409 1.0669932054E+00 -2.7338494034E+01 2.9698787272E+01 -1.0565836985E+02
1.2109838530E+01 1.4999292159E+00 8.1196478944E-04 2.5673648864E-03 0.0000000000E+00 0.00256736 0.997433 1.0168881304E+00 -2.7203613300E+01 2.9513801463E+01 -1.0565836985E+02
1.2112058770E+01 1.4999319442E+00 7.7207665969E-04 2.5445170587E-03 0.0000000000E+00 0.00254452 0.997455 9.6783415558E-01 -2.7071472809E+01 2.9332606997E+01 -1.0565836985E+02
1.2114239866E+01 1.4999344935E+00 7.3415515236E-04 2.5227870358E-03 0.0000000000E+00 0.00252279 0.997477 9.1979756318E-01 -2.6941951711E+01 2.9155049307E+01 -1.0565836985E+02
1.2116383264E+01 1.4999368764E+00 6.9810132154E-04 2.5021192666E-03 0.0000000000E+00 0.00250212 0.997498 8.7274285737E-01 -2.6814933243E+01 2.8980976133E+01 -1.0565836985E+02
1.2118490146E+01 1.4999391043E+00 6.6382053627E-04 2.4824605554E-03 0.0000000000E+00 0.00248246 0.997518 8.2663240552E-01 -2.6690304445E+01 2.8810236883E+01 -1.0565836985E+02
1.2120561335E+01 1.4999411874E+00 6.3122224592E-04 2.4637599381E-03 0.0000000000E+00 0.00246376 0.997536 7.8142602803E-01 -2.6567955973E+01 2.8642682034E+01 -1.0565836985E+02
1.2122597194E+01 1.4999431350E+00 6.0021980357E-04 2.4459685905E-03 0.0000000000E+00 0.00244597 0.997554 7.3708055195E-01 -2.6447782124E+01 2.8478162708E+01 -1.0565836985E+02
1.2124597517E+01 1.4999449550E+00 5.7073038526E-04 2.4290397906E-03 0.0000000000E+00 0.00242904 0.997571 6.9354936763E-01 -2.6329681295E+01 2.8316530695E+01 -1.0565836985E+02
1.2126561430E+01 1.4999466546E+00 5.4267507202E-04 2.4129289745E-03 0.0000000000E+00 0.00241293 0.997587 6.5078207761E-01 -2.6213557296E+01 2.8157639406E+01 -1.0565836985E+02
1.2128487327E+01 1.4999482396E+00 5.1597921274E-04 2.3975939520E-03 0.0000000000E+00 0.00239759 0.997602 6.0872442330E-01 -2.6099322249E+01 2.8001346705E+01 -1.0565836985E+02
1.2130372910E+01 1.4999497155E+00 4.9057327088E-04 2.3829954015E-03 0.0000000000E+00 0.002383 0.997617 5.6731885434E-01 -2.5986902414E+01 2.7847521300E+01 -1.0565836985E+02
1.2132215412E+01 1.4999510869E+00 4.6639448510E-04 2.3690978322E-03 0.0000000000E+00 0.0023691 0.997631 5.2650641199E-01 -2.5876249185E+01 2.7696055630E+01 -1.0565836985E+02
1.2134012182E+01 1.4999523587E+00 4.4338981551E-04 2.3558712867E-03 0.0000000000E+00 0.00235587 0.997644 4.8623103474E-01 -2.5767358778E+01 2.7546889846E+01 -1.0565836985E+02
1.2135761883E+01 1.4999535363E+00 4.2152063212E-04 2.3432940484E-03 0.0000000000E+00 0.00234329 0.997657 4.4644771415E-01 -2.5660304846E+01 2.7400052593E+01 -1.0565836985E+02
1.2137466649E+01 1.4999546273E+00 4.0076886863E-04 2.3313561954E-03 0.0000000000E+00 0.00233136 0.997669 4.0713503560E-01 -2.5555285301E+01 2.7255720369E+01 -1.0565836985E+02
1.2138684514E+01 1.4999553735E+00 3.8636459709E-04 2.3230679600E-03 0.0000000000E+00 0.00232307 0.997677 3.7881231510E-01 -2.5480299156E+01 2.7152411503E+01 -1.0565836985E+02
1.2139901541E+01 1.4999560925E+00 3.7244118173E-04 2.3150549050E-03 0.0000000000E+00 0.00231505 0.997685 3.5050444787E-01 -2.5406112760E+01 2.7049917241E+01 -1.0565836985E+02
1.2141128515E+01 1.4999567913E+00 3.5904047122E-04 2.3073412531E-03 0.0000000000E+00 0.00230734 0.997693 3.2226510497E-01 -2.5333082146E+01 2.6948647284E+01 -1.0565836985E+02
1.2142280107E+01 1.4999574246E+00 3.4721089387E-04 2.3005307959E-03 0.0000000000E+00 0.00230053 0.997699 2.9639516418E-01 -2.5267265580E+01 2.6856960777E+01 -1.0565836985E+02
1.2143331963E+01 1.4999579852E+00 3.3716030854E-04 2.2947436532E-03 0.0000000000E+00 0.00229474 0.997705 2.7360645815E-01 -2.5210358027E+01 2.6777264518E+01 -1.0565836985E+02
1.2144343266E+01 1.4999585093E+00 3.2824197786E-04 2.2896077818E-03 0.0000000000E+00 0.00228961 0.99771 2.5265912019E-01 -2.5159122375E+01 2.6705081528E+01 -1.0565836985E+02
1.2145371189E+01 1.4999590283E+00 3.1994098434E-04 2.2848268376E-03 0.0000000000E+00 0.00228483 0.997715 2.3244537884E-01 -2.5110845357E+01 2.6636590769E+01 -1.0565836985E+02
1.2146469821E+01 1.4999595691E+00 3.1188846516E-04 2.2801884581E-03 0.0000000000E+00 0.00228019 0.99772 2.1205861472E-01 -2.5063528321E+01 2.6568886968E+01 -1.0565836985E+02
1.2147711210E+01 1.4999601646E+00 3.0371907849E-04 2.2754822079E-03 0.0000000000E+00 0.00227548 0.997725 1.9043456524E-01 -2.5015129953E+01 2.6498864551E+01 -1.0565836985E+02
1.2149267735E+01 1.4999608903E+00 2.9467576102E-04 2.2702718431E-03 0.0000000000E+00 0.00227027 0.99773 1.6511381491E-01 -2.4961283381E+01 2.6419697228E+01 -1.0565836985E+02
1.2151975724E+01 1.4999621058E+00 2.8142238122E-04 2.2626345577E-03 0.0000000000E+00 0.00226263 0.997737 1.2429715474E-01 -2.4882723115E+01 2.6300320303E+01 -1.0565836985E+02
1.2153839905E+01 1.4999629126E+00 2.7365856753E-04 2.2581599353E-03 0.0000000000E+00 0.00225816 0.997742 9.7194768299E-02 -2.4837914800E+01 2.6228409601E+01 -1.0565836985E+02
1.2155820351E+01 1.4999637467E+00 2.6629535117E-04 2.2539157028E-03 0.0000000000E+00 0.00225392 0.997746 6.7540184174E-02 -2.4797926856E+01 2.6158767073E+01 -1.0565836985E+02
1.2157985960E+01 1.4999646343E+00 2.5903918272E-04 2.2497326998E-03 0.0000000000E+00 0.00224973 0.99775 2.9412277845E-02 -2.4765976121E+01 2.6088688431E+01 -1.0565836985E+02
1.2160393703E+01 1.4999655941E+00 2.5171192394E-04 2.2455082317E-03 0.0000000000E+00 0.00224551 0.997754 0.0000000000E+00 -2.4723083638E+01 2.6016383670E+01 -1.0565836985E+02
1.2163103667E+01 1.4999666434E+00 2.4416674726E-04 2.2411576108E-03 0.0000000000E+00 0.00224116 0.997759 0.0000000000E+00 -2.4646919240E+01 2.5940219272E+01 -1.0565836985E+02
1.2166184058E+01 1.4999677993E+00 2.3626259222E-04 2.2365994326E-03 0.0000000000E+00 0.0022366 0.997763 0.0000000000E+00 -2.4565158054E+01 2.5858458087E+01 -1.0565836985E+02
1.2169708122E+01 1.4999690775E+00 2.2786536502E-04 2.2317562639E-03 0.0000000000E+00 0.00223176 0.997768 0.0000000000E+00 -2.4475938934E+01 2.5769238967E+01 -1.0565836985E+02
1.2174645337E+01 1.4999707946E+00 2.1692243706E-04 2.2254438271E-03 0.0000000000E+00 0.00222544 0.997775 0.0000000000E+00 -2.4355740146E+01 2.5649040179E+01 -1.0565836985E+02
1.2179704482E+01 1.4999724705E+00 2.0640300606E-04 2.2193745804E-03 0.0000000000E+00 0.00221937 0.997781 0.0000000000E+00 -2.4235619054E+01 2.5528919087E+01 -1.0565836985E+02
1.2184791683E+01 1.4999740750E+00 1.9632635328E-04 2.2135597591E-03 0.0000000000E+00 0.00221356 0.997786 0.0000000000E+00 -2.4115927546E+01 2.5409227579E+01 -1.0565836985E+02
1.2189842141E+01 1.4999755911E+00 1.8670293197E-04 2.2080055091E-03 0.0000000000E+00 0.00220801 0.997792 0.0000000000E+00 -2.3996966271E+01 2.5290266304E+01 -1.0565836985E+02
1.2194818623E+01 1.4999770129E+00 1.7753321596E-04 2.2027122175E-03 0.0000000000E+00 0.00220271 0.997797 0.0000000000E+00 -2.3878954296E+01 2.5172254329E+01 -1.0565836985E+02
1.2199705115E+01 1.4999783412E+00 1.6880914792E-04 2.1976753438E-03 0.0000000000E+00 0.00219768 0.997802 0.0000000000E+00 -2.3762027484E+01 2.5055327517E+01 -1.0565836985E+02
1.2204499600E+01 1.4999795814E+00 1.6051660116E-04 2.1928868373E-03 0.0000000000E+00 0.00219289 0.997807 0.0000000000E+00 -2.3646252610E+01 2.4939552643E+01 -1.0565836985E+02
1.2209208028E+01 1.4999807404E+00 1.5263779866E-04 2.1883365316E-03 0.0000000000E+00 0.00218834 0.997812 0.0000000000E+00 -2.3531646345E+01 2.4824946378E+01 -1.0565836985E+02
1.2213840078E+01 1.4999818253E+00 1.4515321523E-04 2.1840132423E-03 0.0000000000E+00 0.00218401 0.997816 0.0000000000E+00 -2.3418192792E+01 2.4711492825E+01 -1.0565836985E+02
1.2218406485E+01 1.4999828431E+00 1.3804287950E-04 2.1799055184E-03 0.0000000000E+00 0.00217991 0.99782 0.0000000000E+00 -2.3305857103E+01 2.4599157136E+01 -1.0565836985E+02
1.2222917541E+01 1.4999837999E+00 1.3128717223E-04 2.1760021041E-03 0.0000000000E+00 0.002176 0.997824 0.0000000000E+00 -2.3194594968E+01 2.4487895001E+01 -1.0565836985E+02
1.2227382346E+01 1.4999847012E+00 1.2486726317E-04 2.1722921916E-03 0.0000000000E+00 0.00217229 0.997828 0.0000000000E+00 -2.3084358709E+01 2.4377658742E+01 -1.0565836985E+02
1.2231808522E+01 1.4999855515E+00 1.1876531341E-04 2.1687655386E-03 0.0000000000E+00 0.00216877 0.997831 0.0000000000E+00 -2.2975100915E+01 2.4268400948E+01 -1.0565836985E+02
1.2236202178E+01 1.4999863549E+00 1.1296453730E-04 2.1654125050E-03 0.0000000000E+00 0.00216541 0.997835 0.0000000000E+00 -2.2866776419E+01 2.4160076452E+01 -1.0565836985E+02
1.2240568014E+01 1.4999871147E+00 1.0744918658E-04 2.1622240439E-03 0.0000000000E+00 0.00216222 0.997838 0.0000000000E+00 -2.2759343242E+01 2.4052643275E+01 -1.0565836985E+02
1.2244909481E+01 1.4999878338E+00 1.0220449586E-04 2.1591916714E-03 0.0000000000E+00 0.00215919 0.997841 0.0000000000E+00 -2.2652762910E+01 2.3946062943E+01 -1.0565836985E+02
1.2249228961E+01 1.4999885147E+00 9.7216612232E-05 2.1563074259E-03 0.0000000000E+00 0.00215631 0.997844 0.0000000000E+00 -2.2547000422E+01 2.3840300455E+01 -1.0565836985E+02
1.2253527945E+01 1.4999891598E+00 9.2472521576E-05 2.1535638263E-03 0.0000000000E+00 0.00215356 0.997846 0.0000000000E+00 -2.2442024038E+01 2.3735324070E+01 -1.0565836985E+02
1.2257807193E+01 1.4999897709E+00 8.7959978031E-05 2.1509538314E-03 0.0000000000E+00 0.00215095 0.997849 0.0000000000E+00 -2.2337804986E+01 2.3631105019E+01 -1.0565836985E+02
1.2262066879E+01 1.4999903499E+00 8.3667439416E-05 2.1484708031E-03 0.0000000000E+00 0.00214847 0.997852 0.0000000000E+00 -2.2234317153E+01 2.3527617185E+01 -1.0565836985E+02
1.2266306716E+01 1.4999908984E+00 7.9584009492E-05 2.1461084736E-03 0.0000000000E+00 0.00214611 0.997854 0.0000000000E+00 -2.2131536770E+01 2.3424836803E+01 -1.0565836985E+02
1.2270526065E+01 1.4999914179E+00 7.5699386971E-05 2.1438609157E-03 0.0000000000E+00 0.00214386 0.997856 0.0000000000E+00 -2.2029442141E+01 2.3322742174E+01 -1.0565836985E+02
1.2274724017E+01 1.4999919099E+00 7.2003820657E-05 2.1417225176E-03 0.0000000000E+00 0.00214172 0.997858 0.0000000000E+00 -2.1928013385E+01 2.3221313418E+01 -1.0565836985E+02
1.2278899476E+01 1.4999923756E+00 6.8488069988E-05 2.1396879602E-03 0.0000000000E+00 0.00213969 0.99786 0.0000000000E+00 -2.1827232218E+01 2.3120532250E+01 -1.0565836985E+02
1.2283051215E+01 1.4999928164E+00 6.5143370211E-05 2.1377521970E-03 0.0000000000E+00 0.00213775 0.997862 0.0000000000E+00 -2.1727081760E+01 2.3020381793E+01 -1.0565836985E+02
1.2287177932E+01 1.4999932333E+00 6.1961401474E-05 2.1359104367E-03 0.0000000000E+00 0.00213591 0.997864 0.0000000000E+00 -2.1627546376E+01 2.2920846409E+01 -1.0565836985E+02
1.2291278283E+01 1.4999936275E+00 5.8934261227E-05 2.1341581274E-03 0.0000000000E+00 0.00213416 0.997866 0.0000000000E+00 -2.1528611528E+01 2.2821911561E+01 -1.0565836985E+02
1.2295350921E+01 1.4999940002E+00 5.6054439410E-05 2.1324909423E-03 0.0000000000E+00 0.00213249 0.997868 0.0000000000E+00 -2.1430263659E+01 2.2723563691E+01 -1.0565836985E+02
1.2299394522E+01 1.4999943523E+00 5.3314795966E-05 2.1309047668E-03 0.0000000000E+00 0.0021309 0.997869 0.0000000000E+00 -2.1332490085E+01 2.2625790117E+01 -1.0565836985E+02
1.2303407801E+01 1.4999946850E+00 5.0708540362E-05 2.1293956871E-03 0.0000000000E+00 0.0021294 0.997871 0.0000000000E+00 -2.1235278911E+01 2.2528578943E+01 -1.0565836985E+02
1.2307389529E+01 1.4999949990E+00 4.8229212770E-05 2.1279599791E-03 0.0000000000E+00 0.00212796 0.997872 0.0000000000E+00 -2.1138618949E+01 2.2431918982E+01 -1.0565836985E+02
1.2311338549E+01 1.4999952954E+00 4.5870666719E-05 2.1265940987E-03 0.0000000000E+00 0.00212659 0.997873 0.0000000000E+00 -2.1042499655E+01 2.2335799687E+01 -1.0565836985E+02
1.2315253776E+01 1.4999955751E+00 4.3627052984E-05 2.1252946726E-03 0.0000000000E+00 0.00212529 0.997875 0.0000000000E+00 -2.0946911068E+01 2.2240211101E+01 -1.0565836985E+02
1.2319134211E+01 1.4999958388E+00 4.1492804567E-05 2.1240584897E-03 0.0000000000E+00 0.00212406 0.997876 0.0000000000E+00 -2.0851843764E+01 2.2145143797E+01 -1.0565836985E+02
1.2322978935E+01 1.4999960875E+00 3.9462622652E-05 2.1228824928E-03 0.0000000000E+00 0.00212288 0.997877 0.0000000000E+00 -2.0757288807E+01 2.2050588839E+01 -1.0565836985E+02
1.2326787120E+01 1.4999963219E+00 3.7531463399E-05 2.1217637716E-03 0.0000000000E+00 0.00212176 0.997878 0.0000000000E+00 -2.0663237711E+01 2.1956537744E+01 -1.0565836985E+02
1.2330558021E+01 1.4999965427E+00 3.5694525519E-05 2.1206995549E-03 0.0000000000E+00 0.0021207 0.997879 0.0000000000E+00 -2.0569682410E+01 2.1862982443E+01 -1.0565836985E+02
1.2334290979E+01 1.4999967508E+00 3.3947238529E-05 2.1196872047E-03 0.0000000000E+00 0.00211969 0.99788 0.0000000000E+00 -2.0476615221E+01 2.1769915254E+01 -1.0565836985E+02
1.2337985419E+01 1.4999969467E+00 3.2285251652E-05 2.1187242090E-03 0.0000000000E+00 0.00211872 0.997881 0.0000000000E+00 -2.0384028821E+01 2.1677328854E+01 -1.0565836985E+02
1.2341640844E+01 1.4999971312E+00 3.0704423286E-05 2.1178081765E-03 0.0000000000E+00 0.00211781 0.997882 0.0000000000E+00 -2.0291916220E+01 2.1585216253E+01 -1.0565836985E+02
1.2345256835E+01 1.4999973048E+00 2.9200811019E-05 2.1169368304E-03 0.0000000000E+00 0.00211694 0.997883 0.0000000000E+00 -2.0200270741E+01 2.1493570773E+01 -1.0565836985E+02
1.2348833046E+01 1.4999974682E+00 2.7770662139E-05 2.1161080030E-03 0.0000000000E+00 0.00211611 0.997884 0.0000000000E+00 -2.0109085995E+01 2.1402386028E+01 -1.0565836985E+02
1.2352369200E+01 1.4999976219E+00 2.6410404606E-05 2.1153196309E-03 0.0000000000E+00 0.00211532 0.997885 0.0000000000E+00 -2.0018355871E+01 2.1311655904E+01 -1.0565836985E+02
1.2355865085E+01 1.4999977666E+00 2.5116638466E-05 2.1145697497E-03 0.0000000000E+00 0.00211457 0.997885 0.0000000000E+00 -1.9928074511E+01 2.1221374543E+01 -1.0565836985E+02
1.2359320550E+01 1.4999979026E+00 2.3886127676E-05 2.1138564894E-03 0.0000000000E+00 0.00211386 0.997886 0.0000000000E+00 -1.9838236297E+01 2.1131536330E+01 -1.0565836985E+02
1.2362735501E+01 1.4999980304E+00 2.2715792312E-05 2.1131780701E-03 0.0000000000E+00 0.00211318 0.997887 0.0000000000E+00 -1.9748835842E+01 2.1042135874E+01 -1.0565836985E+02
1.2366109898E+01 1.4999981507E+00 2.1602701153E-05 2.1125327975E-03 0.0000000000E+00 0.00211253 0.997887 0.0000000000E+00 -1.9659867968E+01 2.0953168000E+01 -1.0565836985E+02
1.2369443748E+01 1.4999982637E+00 2.0544064603E-05 2.1119190589E-03 0.0000000000E+00 0.00211192 0.997888 0.0000000000E+00 -1.9571327701E+01 2.0864627734E+01 -1.0565836985E+02
1.2372737104E+01 1.4999983699E+00 1.9537227956E-05 2.1113353195E-03 0.0000000000E+00 0.00211134 0.997889 0.0000000000E+00 -1.9483210258E+01 2.0776510291E+01 -1.0565836985E+02
1.2375990060E+01 1.4999984698E+00 1.8579664962E-05 2.1107801187E-03 0.0000000000E+00 0.00211078 0.997889 0.0000000000E+00 -1.9395511034E+01 2.0688811067E+01 -1.0565836985E+02
1.2379202749E+01 1.4999985636E+00 1.7668971706E-05 2.1102520661E-03 0.0000000000E+00 0.00211025 0.99789 0.0000000000E+00 -1.9308225596E+01 2.0601525629E+01 -1.0565836985E+02
1.2382375337E+01 1.4999986517E+00 1.6802860765E-05 2.1097498388E-03 0.0000000000E+00 0.00210975 0.99789 0.0000000000E+00 -1.9221349670E+01 2.0514649703E+01 -1.0565836985E+02
1.2385508022E+01 1.4999987345E+00 1.5979155640E-05 2.1092721780E-03 0.0000000000E+00 0.00210927 0.997891 0.0000000000E+00 -1.9134879137E+01 2.0428179169E+01 -1.0565836985E+02
1.2388601030E+01 1.4999988123E+00 1.5195785446E-05 2.1088178854E-03 0.0000000000E+00 0.00210882 0.997891 0.0000000000E+00 -1.9048810019E+01 2.0342110051E+01 -1.0565836985E+02
1.2391654613E+01 1.4999988853E+00 1.4450779853E-05 2.1083858213E-03 0.0000000000E+00 0.00210839 0.997892 0.0000000000E+00 -1.8963138477E+01 2.0256438510E+01 -1.0565836985E+02
