r(km) M(Msun) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
2.5745813001E+00 2.7342635521E-02 4.1686526027E-01 7.6809764303E-02 4.5266600225E-02 0.122076 0.877924 2.1248172601E+02 1.9925084416E+01 1.9384994162E+02 8.8191571770E+01
2.7536148097E+00 3.3353549039E-02 4.1504029263E-01 7.6469849895E-02 4.4897846704E-02 0.121368 0.878632 2.1052160690E+02 1.8534215483E+01 1.9328069145E+02 8.7622321596E+01
2.9394058398E+00 4.0437078918E-02 4.1301579065E-01 7.6094338224E-02 4.4490052464E-02 0.120584 0.879416 2.0835643429E+02 1.7000192117E+01 1.9264954220E+02 8.6991172349E+01
3.1319916452E+00 4.8739003112E-02 4.1077651642E-01 7.5680936571E-02 4.4040579189E-02 0.119722 0.880278 2.0597300688E+02 1.5314431002E+01 1.9195187591E+02 8.6293506058E+01
3.3314085043E+00 5.8417787624E-02 4.0830649897E-01 7.5227343234E-02 4.3546741569E-02 0.118774 0.881226 2.0335805151E+02 1.3468466824E+01 1.9118288472E+02 8.5524514866E+01
3.5376931701E+00 6.9644738580E-02 4.0558898068E-01 7.4731262204E-02 4.3005815236E-02 0.117737 0.882263 2.0049829568E+02 1.1454031732E+01 1.9033756398E+02 8.4679194129E+01
3.7508847913E+00 8.2604047068E-02 4.0260634284E-01 7.4190418483E-02 4.2415043627E-02 0.116605 0.883395 1.9738053957E+02 9.2631384834E+00 1.8941070112E+02 8.3752331263E+01
3.9710274453E+00 9.7492736913E-02 3.9934000203E-01 7.3602573553E-02 4.1771642783E-02 0.115374 0.884626 1.9399172348E+02 6.8881652579E+00 1.8839685825E+02 8.2738488400E+01
4.1981734783E+00 1.1452054044E-01 3.9577026668E-01 7.2965540255E-02 4.1072802669E-02 0.114038 0.885962 1.9031898509E+02 4.3219391936E+00 1.8729034593E+02 8.1631976078E+01
4.4323879286E+00 1.3390974933E-01 3.9187613827E-01 7.2277195972E-02 4.0315682940E-02 0.112593 0.887407 1.8634969821E+02 1.5578143822E+00 1.8608518386E+02 8.0426814007E+01
4.6737544398E+00 1.5589512107E-01 3.8763503518E-01 7.1535492423E-02 3.9497400152E-02 0.111033 0.888967 1.8207148108E+02 0.0000000000E+00 1.8477504298E+02 7.9116673123E+01
4.9223832679E+00 1.8072397327E-01 3.8302240673E-01 7.0738459474E-02 3.8615001904E-02 0.109353 0.890647 1.7747215642E+02 0.0000000000E+00 1.8335316011E+02 7.7694790256E+01
