r(km) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.20611621E+01 2.01329001E-03 3.25159332E-03 0.00000000E+00 0.00325159 0.996748 2.10757172E+00 -3.01919352E+01 3.35928070E+01 -1.05658370E+02
1.20643845E+01 1.91420144E-03 3.19542078E-03 0.00000000E+00 0.00319542 0.996805 2.03531471E+00 -2.99870947E+01 3.33157094E+01 -1.05658370E+02
1.20675382E+01 1.81998598E-03 3.14196866E-03 0.00000000E+00 0.00314197 0.996858 1.96455606E+00 -2.97878291E+01 3.30456852E+01 -1.05658370E+02
1.20706244E+01 1.73040534E-03 3.09110763E-03 0.00000000E+00 0.00309111 0.996909 1.89527466E+00 -2.95939316E+01 3.27825063E+01 -1.05658370E+02
1.20736445E+01 1.64523283E-03 3.04271433E-03 0.00000000E+00 0.00304271 0.996957 1.82744856E+00 -2.94051996E+01 3.25259482E+01 -1.05658370E+02
1.20765997E+01 1.56425282E-03 2.99667107E-03 0.00000000E+00 0.00299667 0.997003 1.76105507E+00 -2.92214347E+01 3.22757898E+01 -1.05658370E+02
1.20794914E+01 1.48726017E-03 2.95286565E-03 0.00000000E+00 0.00295287 0.997047 1.69607084E+00 -2.90424436E+01 3.20318144E+01 -1.05658370E+02
1.20823213E+01 1.41405973E-03 2.91119107E-03 0.00000000E+00 0.00291119 0.997089 1.63247184E+00 -2.88680376E+01 3.17938095E+01 -1.05658370E+02
1.20850907E+01 1.34446589E-03 2.87154530E-03 0.00000000E+00 0.00287155 0.997128 1.57023348E+00 -2.86980335E+01 3.15615670E+01 -1.05658370E+02
1.20878013E+01 1.27830206E-03 2.83383112E-03 0.00000000E+00 0.00283383 0.997166 1.50933061E+00 -2.85322531E+01 3.13348838E+01 -1.05658370E+02
1.20904547E+01 1.21540024E-03 2.79795580E-03 0.00000000E+00 0.00279796 0.997202 1.44973758E+00 -2.83705238E+01 3.11135614E+01 -1.05658370E+02
1.20930527E+01 1.15560059E-03 2.76383099E-03 0.00000000E+00 0.00276383 0.997236 1.39142820E+00 -2.82126783E+01 3.08974066E+01 -1.05658370E+02
1.20955970E+01 1.09875102E-03 2.73137243E-03 0.00000000E+00 0.00273137 0.997269 1.33437579E+00 -2.80585550E+01 3.06862308E+01 -1.05658370E+02
1.20980894E+01 1.04470679E-03 2.70049980E-03 0.00000000E+00 0.0027005 0.9973 1.27855312E+00 -2.79079977E+01 3.04798509E+01 -1.05658370E+02
1.21005318E+01 9.93330082E-04 2.67113653E-03 0.00000000E+00 0.00267114 0.997329 1.22393241E+00 -2.77608558E+01 3.02780882E+01 -1.05658370E+02
1.21029260E+01 9.44489695E-04 2.64320957E-03 0.00000000E+00 0.00264321 0.997357 1.17048523E+00 -2.76169840E+01 3.00807693E+01 -1.05658370E+02
1.21052740E+01 8.98060626E-04 2.61664921E-03 0.00000000E+00 0.00261665 0.997383 1.11818242E+00 -2.74762424E+01 2.98877248E+01 -1.05658370E+02
1.21075776E+01 8.53923738E-04 2.59138895E-03 0.00000000E+00 0.00259139 0.997409 1.06699399E+00 -2.73384961E+01 2.96987902E+01 -1.05658370E+02
1.21098386E+01 8.11965421E-04 2.56736525E-03 0.00000000E+00 0.00256737 0.997433 1.01688890E+00 -2.72036154E+01 2.95138043E+01 -1.05658370E+02
1.21120588E+01 7.72077260E-04 2.54451740E-03 0.00000000E+00 0.00254452 0.997455 9.67834905E-01 -2.70714748E+01 2.93326098E+01 -1.05658370E+02
1.21142399E+01 7.34155723E-04 2.52278736E-03 0.00000000E+00 0.00252279 0.997477 9.19798297E-01 -2.69419537E+01 2.91550520E+01 -1.05658370E+02
1.21163833E+01 6.98101864E-04 2.50211958E-03 0.00000000E+00 0.00250212 0.997498 8.72743576E-01 -2.68149352E+01 2.89809788E+01 -1.05658370E+02
1.21184902E+01 6.63821052E-04 2.48246085E-03 0.00000000E+00 0.00248246 0.997518 8.26633110E-01 -2.66903064E+01 2.88102395E+01 -1.05658370E+02
1.21205614E+01 6.31222737E-04 2.46376022E-03 0.00000000E+00 0.00246376 0.997536 7.81426719E-01 -2.65679578E+01 2.86426846E+01 -1.05658370E+02
1.21225972E+01 6.00220270E-04 2.44596886E-03 0.00000000E+00 0.00244597 0.997554 7.37081230E-01 -2.64477840E+01 2.84781652E+01 -1.05658370E+02
1.21245976E+01 5.70730829E-04 2.42904005E-03 0.00000000E+00 0.00242904 0.997571 6.93550034E-01 -2.63296831E+01 2.83165332E+01 -1.05658370E+02
1.21265615E+01 5.42675494E-04 2.41292922E-03 0.00000000E+00 0.00241293 0.997587 6.50782732E-01 -2.62135591E+01 2.81576418E+01 -1.05658370E+02
1.21284874E+01 5.15979615E-04 2.39759418E-03 0.00000000E+00 0.00239759 0.997602 6.08725067E-01 -2.60993240E+01 2.80013491E+01 -1.05658370E+02
1.21303730E+01 4.90573653E-04 2.38299562E-03 0.00000000E+00 0.002383 0.997617 5.67319489E-01 -2.59869041E+01 2.78475237E+01 -1.05658370E+02
1.21322155E+01 4.66394849E-04 2.36909804E-03 0.00000000E+00 0.0023691 0.997631 5.26507038E-01 -2.58762509E+01 2.76960579E+01 -1.05658370E+02
1.21340122E+01 4.43390162E-04 2.35587149E-03 0.00000000E+00 0.00235587 0.997644 4.86231653E-01 -2.57673604E+01 2.75468921E+01 -1.05658370E+02
1.21357619E+01 4.21520961E-04 2.34329424E-03 0.00000000E+00 0.00234329 0.997657 4.46448325E-01 -2.56603065E+01 2.74000548E+01 -1.05658370E+02
1.21374667E+01 4.00769180E-04 2.33135637E-03 0.00000000E+00 0.00233136 0.997669 4.07135639E-01 -2.55552869E+01 2.72557226E+01 -1.05658370E+02
1.21386846E+01 3.86364894E-04 2.32306813E-03 0.00000000E+00 0.00232307 0.997677 3.78812909E-01 -2.54803007E+01 2.71524137E+01 -1.05658370E+02
1.21399016E+01 3.72441472E-04 2.31505507E-03 0.00000000E+00 0.00231506 0.997685 3.50505048E-01 -2.54061143E+01 2.70499194E+01 -1.05658370E+02
1.21411286E+01 3.59040741E-04 2.30734141E-03 0.00000000E+00 0.00230734 0.997693 3.22265685E-01 -2.53330836E+01 2.69486494E+01 -1.05658370E+02
1.21422802E+01 3.47211122E-04 2.30053093E-03 0.00000000E+00 0.00230053 0.997699 2.96395673E-01 -2.52672669E+01 2.68569626E+01 -1.05658370E+02
1.21433320E+01 3.37160506E-04 2.29474377E-03 0.00000000E+00 0.00229474 0.997705 2.73606915E-01 -2.52103592E+01 2.67772661E+01 -1.05658370E+02
1.21443433E+01 3.28242158E-04 2.28960789E-03 0.00000000E+00 0.00228961 0.99771 2.52659551E-01 -2.51591234E+01 2.67050830E+01 -1.05658370E+02
1.21453712E+01 3.19941156E-04 2.28482694E-03 0.00000000E+00 0.00228483 0.997715 2.32445804E-01 -2.51108464E+01 2.66365922E+01 -1.05658370E+02
1.21464699E+01 3.11888634E-04 2.28018856E-03 0.00000000E+00 0.00228019 0.99772 2.12059052E-01 -2.50635293E+01 2.65688884E+01 -1.05658370E+02
1.21477113E+01 3.03719256E-04 2.27548231E-03 0.00000000E+00 0.00227548 0.997725 1.90435046E-01 -2.50151310E+01 2.64988661E+01 -1.05658370E+02
1.21492678E+01 2.94675973E-04 2.27027197E-03 0.00000000E+00 0.00227027 0.99773 1.65114428E-01 -2.49612846E+01 2.64196991E+01 -1.05658370E+02
1.21519757E+01 2.81422584E-04 2.26263467E-03 0.00000000E+00 0.00226263 0.997737 1.24297824E-01 -2.48827243E+01 2.63003222E+01 -1.05658370E+02
1.21538399E+01 2.73658754E-04 2.25816004E-03 0.00000000E+00 0.00225816 0.997742 9.71954609E-02 -2.48379159E+01 2.62284113E+01 -1.05658370E+02
1.21558204E+01 2.66295532E-04 2.25391581E-03 0.00000000E+00 0.00225392 0.997746 6.75409863E-02 -2.47979278E+01 2.61587688E+01 -1.05658370E+02
1.21579860E+01 2.59039364E-04 2.24973280E-03 0.00000000E+00 0.00224973 0.99775 2.94134885E-02 -2.47659767E+01 2.60886902E+01 -1.05658370E+02
1.21603937E+01 2.51712108E-04 2.24550834E-03 0.00000000E+00 0.00224551 0.997754 0.00000000E+00 -2.47230855E+01 2.60163855E+01 -1.05658370E+02
1.21631037E+01 2.44166939E-04 2.24115772E-03 0.00000000E+00 0.00224116 0.997759 0.00000000E+00 -2.46469212E+01 2.59402212E+01 -1.05658370E+02
1.21661840E+01 2.36262795E-04 2.23659955E-03 0.00000000E+00 0.0022366 0.997763 0.00000000E+00 -2.45651602E+01 2.58584602E+01 -1.05658370E+02
1.21697081E+01 2.27865581E-04 2.23175639E-03 0.00000000E+00 0.00223176 0.997768 0.00000000E+00 -2.44759413E+01 2.57692413E+01 -1.05658370E+02
1.21746453E+01 2.16922645E-04 2.22544395E-03 0.00000000E+00 0.00222544 0.997775 0.00000000E+00 -2.43557425E+01 2.56490425E+01 -1.05658370E+02
1.21797044E+01 2.06403206E-04 2.21937470E-03 0.00000000E+00 0.00221937 0.997781 0.00000000E+00 -2.42356214E+01 2.55289214E+01 -1.05658370E+02
1.21847916E+01 1.96326544E-04 2.21355987E-03 0.00000000E+00 0.00221356 0.997786 0.00000000E+00 -2.41159299E+01 2.54092299E+01 -1.05658370E+02
1.21898421E+01 1.86703114E-04 2.20800561E-03 0.00000000E+00 0.00220801 0.997792 0.00000000E+00 -2.39969686E+01 2.52902686E+01 -1.05658370E+02
1.21948186E+01 1.77533389E-04 2.20271232E-03 0.00000000E+00 0.00220271 0.997797 0.00000000E+00 -2.38789566E+01 2.51722566E+01 -1.05658370E+02
1.21997051E+01 1.68809313E-04 2.19767544E-03 0.00000000E+00 0.00219768 0.997802 0.00000000E+00 -2.37620297E+01 2.50553298E+01 -1.05658370E+02
1.22044996E+01 1.60516758E-04 2.19288693E-03 0.00000000E+00 0.00219289 0.997807 0.00000000E+00 -2.36462548E+01 2.49395549E+01 -1.05658370E+02
1.22092080E+01 1.52637947E-04 2.18833662E-03 0.00000000E+00 0.00218834 0.997812 0.00000000E+00 -2.35316486E+01 2.48249486E+01 -1.05658370E+02
1.22138400E+01 1.45153357E-04 2.18401332E-03 0.00000000E+00 0.00218401 0.997816 0.00000000E+00 -2.34181950E+01 2.47114950E+01 -1.05658370E+02
1.22184065E+01 1.38043014E-04 2.17990560E-03 0.00000000E+00 0.00217991 0.99782 0.00000000E+00 -2.33058593E+01 2.45991593E+01 -1.05658370E+02
1.22229175E+01 1.31287300E-04 2.17600218E-03 0.00000000E+00 0.002176 0.997824 0.00000000E+00 -2.31945971E+01 2.44878971E+01 -1.05658370E+02
1.22273823E+01 1.24867384E-04 2.17229226E-03 0.00000000E+00 0.00217229 0.997828 0.00000000E+00 -2.30843608E+01 2.43776609E+01 -1.05658370E+02
1.22318085E+01 1.18765429E-04 2.16876561E-03 0.00000000E+00 0.00216877 0.997831 0.00000000E+00 -2.29751030E+01 2.42684031E+01 -1.05658370E+02
1.22362021E+01 1.12964647E-04 2.16541257E-03 0.00000000E+00 0.00216541 0.997835 0.00000000E+00 -2.28667785E+01 2.41600785E+01 -1.05658370E+02
1.22405680E+01 1.07449291E-04 2.16222410E-03 0.00000000E+00 0.00216222 0.997838 0.00000000E+00 -2.27593453E+01 2.40526453E+01 -1.05658370E+02
1.22449095E+01 1.02204595E-04 2.15919173E-03 0.00000000E+00 0.00215919 0.997841 0.00000000E+00 -2.26527650E+01 2.39460650E+01 -1.05658370E+02
1.22492289E+01 9.72167065E-05 2.15630748E-03 0.00000000E+00 0.00215631 0.997844 0.00000000E+00 -2.25470025E+01 2.38403025E+01 -1.05658370E+02
1.22535279E+01 9.24726112E-05 2.15356388E-03 0.00000000E+00 0.00215356 0.997846 0.00000000E+00 -2.24420261E+01 2.37353261E+01 -1.05658370E+02
1.22578072E+01 8.79600633E-05 2.15095388E-03 0.00000000E+00 0.00215095 0.997849 0.00000000E+00 -2.23378070E+01 2.36311070E+01 -1.05658370E+02
1.22620668E+01 8.36675205E-05 2.14847085E-03 0.00000000E+00 0.00214847 0.997852 0.00000000E+00 -2.22343192E+01 2.35276192E+01 -1.05658370E+02
1.22663067E+01 7.95840867E-05 2.14610852E-03 0.00000000E+00 0.00214611 0.997854 0.00000000E+00 -2.21315388E+01 2.34248388E+01 -1.05658370E+02
1.22705260E+01 7.56994604E-05 2.14386096E-03 0.00000000E+00 0.00214386 0.997856 0.00000000E+00 -2.20294441E+01 2.33227441E+01 -1.05658370E+02
1.22747240E+01 7.20038905E-05 2.14172256E-03 0.00000000E+00 0.00214172 0.997858 0.00000000E+00 -2.19280153E+01 2.32213154E+01 -1.05658370E+02
1.22788994E+01 6.84881364E-05 2.13968800E-03 0.00000000E+00 0.00213969 0.99786 0.00000000E+00 -2.18272342E+01 2.31205342E+01 -1.05658370E+02
1.22830512E+01 6.51434334E-05 2.13775223E-03 0.00000000E+00 0.00213775 0.997862 0.00000000E+00 -2.17270837E+01 2.30203837E+01 -1.05658370E+02
1.22871779E+01 6.19614616E-05 2.13591047E-03 0.00000000E+00 0.00213591 0.997864 0.00000000E+00 -2.16275483E+01 2.29208483E+01 -1.05658370E+02
1.22912782E+01 5.89343184E-05 2.13415816E-03 0.00000000E+00 0.00213416 0.997866 0.00000000E+00 -2.15286134E+01 2.28219135E+01 -1.05658370E+02
1.22953509E+01 5.60544938E-05 2.13249097E-03 0.00000000E+00 0.00213249 0.997868 0.00000000E+00 -2.14302656E+01 2.27235656E+01 -1.05658370E+02
1.22993945E+01 5.33148477E-05 2.13090480E-03 0.00000000E+00 0.0021309 0.997869 0.00000000E+00 -2.13324920E+01 2.26257920E+01 -1.05658370E+02
1.23034078E+01 5.07085896E-05 2.12939572E-03 0.00000000E+00 0.0021294 0.997871 0.00000000E+00 -2.12352808E+01 2.25285808E+01 -1.05658370E+02
1.23073895E+01 4.82292596E-05 2.12796001E-03 0.00000000E+00 0.00212796 0.997872 0.00000000E+00 -2.11386208E+01 2.24319208E+01 -1.05658370E+02
1.23113385E+01 4.58707113E-05 2.12659412E-03 0.00000000E+00 0.00212659 0.997873 0.00000000E+00 -2.10425015E+01 2.23358015E+01 -1.05658370E+02
1.23152537E+01 4.36270954E-05 2.12529470E-03 0.00000000E+00 0.00212529 0.997875 0.00000000E+00 -2.09469129E+01 2.22402129E+01 -1.05658370E+02
1.23191342E+01 4.14928449E-05 2.12405851E-03 0.00000000E+00 0.00212406 0.997876 0.00000000E+00 -2.08518456E+01 2.21451456E+01 -1.05658370E+02
1.23229789E+01 3.94626610E-05 2.12288252E-03 0.00000000E+00 0.00212288 0.997877 0.00000000E+00 -2.07572906E+01 2.20505907E+01 -1.05658370E+02
1.23267871E+01 3.75314999E-05 2.12176379E-03 0.00000000E+00 0.00212176 0.997878 0.00000000E+00 -2.06632395E+01 2.19565396E+01 -1.05658370E+02
1.23305580E+01 3.56945602E-05 2.12069958E-03 0.00000000E+00 0.0021207 0.997879 0.00000000E+00 -2.05696842E+01 2.18629843E+01 -1.05658370E+02
1.23342909E+01 3.39472715E-05 2.11968722E-03 0.00000000E+00 0.00211969 0.99788 0.00000000E+00 -2.04766170E+01 2.17699171E+01 -1.05658370E+02
1.23379854E+01 3.22852831E-05 2.11872423E-03 0.00000000E+00 0.00211872 0.997881 0.00000000E+00 -2.03840306E+01 2.16773306E+01 -1.05658370E+02
1.23416408E+01 3.07044532E-05 2.11780819E-03 0.00000000E+00 0.00211781 0.997882 0.00000000E+00 -2.02919180E+01 2.15852180E+01 -1.05658370E+02
1.23452568E+01 2.92008394E-05 2.11693685E-03 0.00000000E+00 0.00211694 0.997883 0.00000000E+00 -2.02002725E+01 2.14935725E+01 -1.05658370E+02
1.23488330E+01 2.77706892E-05 2.11610802E-03 0.00000000E+00 0.00211611 0.997884 0.00000000E+00 -2.01090878E+01 2.14023878E+01 -1.05658370E+02
1.23523692E+01 2.64104303E-05 2.11531965E-03 0.00000000E+00 0.00211532 0.997885 0.00000000E+00 -2.00183576E+01 2.13116577E+01 -1.05658370E+02
1.23558651E+01 2.51166629E-05 2.11456976E-03 0.00000000E+00 0.00211457 0.997885 0.00000000E+00 -1.99280763E+01 2.12213763E+01 -1.05658370E+02
1.23593205E+01 2.38861509E-05 2.11385650E-03 0.00000000E+00 0.00211386 0.997886 0.00000000E+00 -1.98382380E+01 2.11315381E+01 -1.05658370E+02
1.23627355E+01 2.27158144E-05 2.11317808E-03 0.00000000E+00 0.00211318 0.997887 0.00000000E+00 -1.97488376E+01 2.10421376E+01 -1.05658370E+02
1.23661099E+01 2.16027222E-05 2.11253281E-03 0.00000000E+00 0.00211253 0.997887 0.00000000E+00 -1.96598697E+01 2.09531697E+01 -1.05658370E+02
1.23694437E+01 2.05440846E-05 2.11191907E-03 0.00000000E+00 0.00211192 0.997888 0.00000000E+00 -1.95713294E+01 2.08646294E+01 -1.05658370E+02
1.23727371E+01 1.95372470E-05 2.11133533E-03 0.00000000E+00 0.00211134 0.997889 0.00000000E+00 -1.94832120E+01 2.07765120E+01 -1.05658370E+02
1.23759900E+01 1.85796831E-05 2.11078013E-03 0.00000000E+00 0.00211078 0.997889 0.00000000E+00 -1.93955127E+01 2.06888128E+01 -1.05658370E+02
1.23792027E+01 1.76689889E-05 2.11025208E-03 0.00000000E+00 0.00211025 0.99789 0.00000000E+00 -1.93082273E+01 2.06015273E+01 -1.05658370E+02
1.23823753E+01 1.68028771E-05 2.10974985E-03 0.00000000E+00 0.00210975 0.99789 0.00000000E+00 -1.92213513E+01 2.05146514E+01 -1.05658370E+02
1.23855080E+01 1.59791712E-05 2.10927219E-03 0.00000000E+00 0.00210927 0.997891 0.00000000E+00 -1.91348808E+01 2.04281808E+01 -1.05658370E+02
1.23886010E+01 1.51958002E-05 2.10881789E-03 0.00000000E+00 0.00210882 0.997891 0.00000000E+00 -1.90488117E+01 2.03421117E+01 -1.05658370E+02
1.23916546E+01 1.44507939E-05 2.10838583E-03 0.00000000E+00 0.00210839 0.997892 0.00000000E+00 -1.89631401E+01 2.02564402E+01 -1.05658370E+02
1.23946690E+01 1.37422776E-05 2.10797491E-03 0.00000000E+00 0.00210797 0.997892 0.00000000E+00 -1.88778625E+01 2.01711625E+01 -1.05658370E+02
1.23976446E+01 1.30684679E-05 2.10758410E-03 0.00000000E+00 0.00210758 0.997892 0.00000000E+00 -1.87929751E+01 2.00862751E+01 -1.05658370E+02
1.24005816E+01 1.24276681E-05 2.10721242E-03 0.00000000E+00 0.00210721 0.997893 0.00000000E+00 -1.87084745E+01 2.00017745E+01 -1.05658370E+02
1.24034804E+01 1.18182639E-05 2.10685894E-03 0.00000000E+00 0.00210686 0.997893 0.00000000E+00 -1.86243573E+01 1.99176574E+01 -1.05658370E+02
1.24063414E+01 1.12387199E-05 2.10652276E-03 0.00000000E+00 0.00210652 0.997893 0.00000000E+00 -1.85406204E+01 1.98339204E+01 -1.05658370E+02
1.24091648E+01 1.06875754E-05 2.10620304E-03 0.00000000E+00 0.0021062 0.997894 0.00000000E+00 -1.84572605E+01 1.97505605E+01 -1.05658370E+02
1.24119511E+01 1.01634407E-05 2.10589898E-03 0.00000000E+00 0.0021059 0.997894 0.00000000E+00 -1.83742746E+01 1.96675747E+01 -1.05658370E+02
1.24147006E+01 9.66499408E-06 2.10560981E-03 0.00000000E+00 0.00210561 0.997894 0.00000000E+00 -1.82916598E+01 1.95849598E+01 -1.05658370E+02
1.24174137E+01 9.19097823E-06 2.10533481E-03 0.00000000E+00 0.00210533 0.997895 0.00000000E+00 -1.82094130E+01 1.95027131E+01 -1.05658370E+02
1.24200907E+01 8.74019718E-06 2.10507327E-03 0.00000000E+00 0.00210507 0.997895 0.00000000E+00 -1.81275316E+01 1.94208317E+01 -1.05658370E+02
1.24227322E+01 8.31151333E-06 2.10482455E-03 0.00000000E+00 0.00210482 0.997895 0.00000000E+00 -1.80460129E+01 1.93393129E+01 -1.05658370E+02
1.24253384E+01 7.90384464E-06 2.10458801E-03 0.00000000E+00 0.00210459 0.997895 0.00000000E+00 -1.79648541E+01 1.92581541E+01 -1.05658370E+02
1.24279099E+01 7.51616193E-06 2.10436306E-03 0.00000000E+00 0.00210436 0.997896 0.00000000E+00 -1.78840527E+01 1.91773527E+01 -1.05658370E+02
1.24304469E+01 7.14748631E-06 2.10414914E-03 0.00000000E+00 0.00210415 0.997896 0.00000000E+00 -1.78036062E+01 1.90969062E+01 -1.05658370E+02
1.24329498E+01 6.79688670E-06 2.10394569E-03 0.00000000E+00 0.00210395 0.997896 0.00000000E+00 -1.77235121E+01 1.90168122E+01 -1.05658370E+02
1.24354192E+01 6.46347758E-06 2.10375221E-03 0.00000000E+00 0.00210375 0.997896 0.00000000E+00 -1.76437681E+01 1.89370681E+01 -1.05658370E+02
1.24378553E+01 6.14641670E-06 2.10356822E-03 0.00000000E+00 0.00210357 0.997896 0.00000000E+00 -1.75643718E+01 1.88576719E+01 -1.05658370E+02
1.24402587E+01 5.84490301E-06 2.10339324E-03 0.00000000E+00 0.00210339 0.997897 0.00000000E+00 -1.74853210E+01 1.87786210E+01 -1.05658370E+02
1.24426296E+01 5.55817467E-06 2.10322684E-03 0.00000000E+00 0.00210323 0.997897 0.00000000E+00 -1.74066134E+01 1.86999134E+01 -1.05658370E+02
1.24449685E+01 5.28550708E-06 2.10306859E-03 0.00000000E+00 0.00210307 0.997897 0.00000000E+00 -1.73282468E+01 1.86215469E+01 -1.05658370E+02
1.24472758E+01 5.02621112E-06 2.10291810E-03 0.00000000E+00 0.00210292 0.997897 0.00000000E+00 -1.72502192E+01 1.85435193E+01 -1.05658370E+02
1.24495518E+01 4.77963141E-06 2.10277499E-03 0.00000000E+00 0.00210277 0.997897 0.00000000E+00 -1.71725285E+01 1.84658285E+01 -1.05658370E+02
1.24517971E+01 4.54514463E-06 2.10263889E-03 0.00000000E+00 0.00210264 0.997897 0.00000000E+00 -1.70951726E+01 1.83884726E+01 -1.05658370E+02
1.24540119E+01 4.32215800E-06 2.10250946E-03 0.00000000E+00 0.00210251 0.997897 0.00000000E+00 -1.70181495E+01 1.83114495E+01 -1.05658370E+02
1.24561966E+01 4.11010776E-06 2.10238638E-03 0.00000000E+00 0.00210239 0.997898 0.00000000E+00 -1.69414573E+01 1.82347573E+01 -1.05658370E+02
1.24583516E+01 3.90845776E-06 2.10226933E-03 0.00000000E+00 0.00210227 0.997898 0.00000000E+00 -1.68650940E+01 1.81583941E+01 -1.05658370E+02
1.24604774E+01 3.71669810E-06 2.10215802E-03 0.00000000E+00 0.00210216 0.997898 0.00000000E+00 -1.67890579E+01 1.80823579E+01 -1.05658370E+02
1.24625742E+01 3.53434389E-06 2.10205217E-03 0.00000000E+00 0.00210205 0.997898 0.00000000E+00 -1.67133470E+01 1.80066470E+01 -1.05658370E+02
1.24646425E+01 3.36093396E-06 2.10195151E-03 0.00000000E+00 0.00210195 0.997898 0.00000000E+00 -1.66379595E+01 1.79312595E+01 -1.05658370E+02
1.24666825E+01 3.19602976E-06 2.10185578E-03 0.00000000E+00 0.00210186 0.997898 0.00000000E+00 -1.65628936E+01 1.78561936E+01 -1.05658370E+02
1.24686947E+01 3.03921422E-06 2.10176474E-03 0.00000000E+00 0.00210176 0.997898 0.00000000E+00 -1.64881476E+01 1.77814477E+01 -1.05658370E+02
1.24706795E+01 2.89009069E-06 2.10167817E-03 0.00000000E+00 0.00210168 0.997898 0.00000000E+00 -1.64137199E+01 1.77070199E+01 -1.05658370E+02
1.24726371E+01 2.74828200E-06 2.10159585E-03 0.00000000E+00 0.0021016 0.997898 0.00000000E+00 -1.63396085E+01 1.76329086E+01 -1.05658370E+02
1.24745679E+01 2.61342944E-06 2.10151756E-03 0.00000000E+00 0.00210152 0.997898 0.00000000E+00 -1.62658120E+01 1.75591121E+01 -1.05658370E+02
1.24764722E+01 2.48519187E-06 2.10144311E-03 0.00000000E+00 0.00210144 0.997899 0.00000000E+00 -1.61923287E+01 1.74856287E+01 -1.05658370E+02
1.24783505E+01 2.36324490E-06 2.10137231E-03 0.00000000E+00 0.00210137 0.997899 0.00000000E+00 -1.61191569E+01 1.74124569E+01 -1.05658370E+02
1.24802030E+01 2.24728003E-06 2.10130498E-03 0.00000000E+00 0.0021013 0.997899 0.00000000E+00 -1.60462950E+01 1.73395951E+01 -1.05658370E+02
1.24820300E+01 2.13700387E-06 2.10124096E-03 0.00000000E+00 0.00210124 0.997899 0.00000000E+00 -1.59737415E+01 1.72670416E+01 -1.05658370E+02
1.24838319E+01 2.03213744E-06 2.10118007E-03 0.00000000E+00 0.00210118 0.997899 0.00000000E+00 -1.59014949E+01 1.71947949E+01 -1.05658370E+02
1.24856090E+01 1.93241542E-06 2.10112217E-03 0.00000000E+00 0.00210112 0.997899 0.00000000E+00 -1.58295535E+01 1.71228535E+01 -1.05658370E+02
1.24873616E+01 1.83758550E-06 2.10106711E-03 0.00000000E+00 0.00210107 0.997899 0.00000000E+00 -1.57579159E+01 1.70512159E+01 -1.05658370E+02
1.24890900E+01 1.74740774E-06 2.10101475E-03 0.00000000E+00 0.00210101 0.997899 0.00000000E+00 -1.56865806E+01 1.69798806E+01 -1.05658370E+02
1.24907946E+01 1.66165398E-06 2.10096496E-03 0.00000000E+00 0.00210096 0.997899 0.00000000E+00 -1.56155460E+01 1.69088461E+01 -1.05658370E+02
1.24924755E+01 1.58010722E-06 2.10091761E-03 0.00000000E+00 0.00210092 0.997899 0.00000000E+00 -1.55448108E+01 1.68381109E+01 -1.05658370E+02
1.24941332E+01 1.50256112E-06 2.10087258E-03 0.00000000E+00 0.00210087 0.997899 0.00000000E+00 -1.54743736E+01 1.67676736E+01 -1.05658370E+02
1.24957679E+01 1.42881946E-06 2.10082976E-03 0.00000000E+00 0.00210083 0.997899 0.00000000E+00 -1.54042327E+01 1.66975328E+01 -1.05658370E+02
1.24973799E+01 1.35869563E-06 2.10078904E-03 0.00000000E+00 0.00210079 0.997899 0.00000000E+00 -1.53343870E+01 1.66276870E+01 -1.05658370E+02
1.24989695E+01 1.29201219E-06 2.10075032E-03 0.00000000E+00 0.00210075 0.997899 0.00000000E+00 -1.52648349E+01 1.65581350E+01 -1.05658370E+02
1.25005369E+01 1.22860037E-06 2.10071349E-03 0.00000000E+00 0.00210071 0.997899 0.00000000E+00 -1.51955751E+01 1.64888752E+01 -1.05658370E+02
1.25020825E+01 1.16829971E-06 2.10067848E-03 0.00000000E+00 0.00210068 0.997899 0.00000000E+00 -1.51266063E+01 1.64199063E+01 -1.05658370E+02
1.25036064E+01 1.11095760E-06 2.10064518E-03 0.00000000E+00 0.00210065 0.997899 0.00000000E+00 -1.50579270E+01 1.63512270E+01 -1.05658370E+02
1.25051091E+01 1.05642893E-06 2.10061351E-03 0.00000000E+00 0.00210061 0.997899 0.00000000E+00 -1.49895359E+01 1.62828359E+01 -1.05658370E+02
1.25065906E+01 1.00457568E-06 2.10058340E-03 0.00000000E+00 0.00210058 0.997899 0.00000000E+00 -1.49214317E+01 1.62147317E+01 -1.05658370E+02
1.25080514E+01 9.55266615E-07 2.10055477E-03 0.00000000E+00 0.00210055 0.997899 0.00000000E+00 -1.48536131E+01 1.61469131E+01 -1.05658370E+02
1.25094916E+01 9.08376947E-07 2.10052753E-03 0.00000000E+00 0.00210053 0.997899 0.00000000E+00 -1.47860787E+01 1.60793788E+01 -1.05658370E+02
1.25109116E+01 8.63787992E-07 2.10050164E-03 0.00000000E+00 0.0021005 0.997899 0.00000000E+00 -1.47188274E+01 1.60121274E+01 -1.05658370E+02
1.25123114E+01 8.21386892E-07 2.10047702E-03 0.00000000E+00 0.00210048 0.9979 0.00000000E+00 -1.46518577E+01 1.59451578E+01 -1.05658370E+02
