r(km) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
3.97102744E+00 3.99340039E-01 7.36025802E-02 4.17716501E-02 0.115374 0.884626 1.93991762E+02 6.88819225E+00 1.88396870E+02 8.27385000E+01
4.19817347E+00 3.95770304E-01 7.29655468E-02 4.10728099E-02 0.114038 0.885962 1.90319023E+02 4.32196558E+00 1.87290357E+02 8.16319875E+01
4.43238792E+00 3.91876175E-01 7.22772024E-02 4.03156900E-02 0.112593 0.887407 1.86349735E+02 1.55784012E+00 1.86085195E+02 8.04268253E+01
4.67375443E+00 3.87635071E-01 7.15354987E-02 3.94974071E-02 0.111033 0.888967 1.82071517E+02 0.00000000E+00 1.84775054E+02 7.91166842E+01
4.92238325E+00 3.83022442E-01 7.07384656E-02 3.86150087E-02 0.109353 0.890647 1.77472192E+02 0.00000000E+00 1.83353171E+02 7.76948012E+01
5.17842231E+00 3.78011224E-01 6.98842048E-02 3.76654276E-02 0.10755 0.89245 1.72539670E+02 0.00000000E+00 1.81812223E+02 7.61538529E+01
5.44207277E+00 3.72571057E-01 6.89708671E-02 3.66454052E-02 0.105616 0.894384 1.67261720E+02 0.00000000E+00 1.80144138E+02 7.44857679E+01
5.71361178E+00 3.66667147E-01 6.79966014E-02 3.55513654E-02 0.103548 0.896452 1.61625541E+02 0.00000000E+00 1.78339812E+02 7.26814422E+01
5.99342668E+00 3.60258546E-01 6.69594563E-02 3.43792097E-02 0.101339 0.898661 1.55617029E+02 0.00000000E+00 1.76388667E+02 7.07302976E+01
6.28206928E+00 3.53295463E-01 6.58571976E-02 3.31239745E-02 0.0989812 0.901019 1.49219507E+02 0.00000000E+00 1.74277942E+02 6.86195721E+01
6.58034673E+00 3.45714845E-01 6.46869681E-02 3.17792419E-02 0.0964662 0.903534 1.42411469E+02 0.00000000E+00 1.71991498E+02 6.63331280E+01
6.88948593E+00 3.37432581E-01 6.34446274E-02 3.03360634E-02 0.0937807 0.906219 1.35162356E+02 0.00000000E+00 1.69507681E+02 6.38493109E+01
7.20341031E+00 3.28562183E-01 6.21567182E-02 2.88203548E-02 0.0909771 0.909023 1.27619664E+02 0.00000000E+00 1.66864534E+02 6.12061643E+01
7.51394744E+00 3.19310625E-01 6.08610905E-02 2.72720443E-02 0.0881331 0.911867 1.19998700E+02 0.00000000E+00 1.64126960E+02 5.84685898E+01
7.82044726E+00 3.09688621E-01 5.95655710E-02 2.56960931E-02 0.0852617 0.914738 1.12340673E+02 0.00000000E+00 1.61300539E+02 5.56421691E+01
8.12222573E+00 2.99707219E-01 5.82777266E-02 2.40968947E-02 0.0823746 0.917625 1.04686874E+02 0.00000000E+00 1.58390446E+02 5.27320762E+01
8.41852353E+00 2.89378806E-01 5.70047530E-02 2.24782226E-02 0.079483 0.920517 9.70791066E+01 0.00000000E+00 1.55401449E+02 4.97430793E+01
8.79751163E+00 2.75325783E-01 5.53680523E-02 2.03298722E-02 0.0756979 0.924302 8.72383092E+01 0.00000000E+00 1.51367035E+02 4.57086655E+01
9.13561384E+00 2.61884601E-01 5.39011519E-02 1.83260279E-02 0.0722272 0.927773 7.83761977E+01 0.00000000E+00 1.47536246E+02 4.18778758E+01
9.43779917E+00 2.49029898E-01 5.25820935E-02 1.64476676E-02 0.0690298 0.93097 7.04029329E+01 0.00000000E+00 1.43888465E+02 3.82300954E+01
9.70802375E+00 2.36739371E-01 5.13898559E-02 1.46778903E-02 0.0660677 0.933932 6.32373775E+01 0.00000000E+00 1.40403832E+02 3.47454617E+01
9.94955540E+00 2.24992711E-01 5.03044759E-02 1.30020874E-02 0.0633066 0.936693 5.68060347E+01 0.00000000E+00 1.37063399E+02 3.14050290E+01
1.01651819E+01 2.13770976E-01 4.93071985E-02 1.14081643E-02 0.0607154 0.939285 5.10423083E+01 0.00000000E+00 1.33849363E+02 2.81909929E+01
1.03573482E+01 2.03056212E-01 4.83806216E-02 9.88679027E-03 0.0582674 0.941733 4.58859194E+01 0.00000000E+00 1.30745278E+02 2.50869079E+01
1.05282482E+01 1.92831199E-01 4.75088196E-02 8.43168066E-03 0.0559405 0.944059 4.12823963E+01 0.00000000E+00 1.27736234E+02 2.20778645E+01
1.06798857E+01 1.83079301E-01 4.66774375E-02 7.03993312E-03 0.0537174 0.946283 3.71825816E+01 0.00000000E+00 1.24808983E+02 1.91506129E+01
1.08141142E+01 1.73784361E-01 4.58737558E-02 5.71246852E-03 0.0515862 0.948414 3.35421142E+01 0.00000000E+00 1.21952001E+02 1.62936307E+01
1.09326618E+01 1.64930644E-01 4.50867231E-02 4.45466962E-03 0.0495414 0.950459 3.03208431E+01 0.00000000E+00 1.19155508E+02 1.34971382E+01
1.10371460E+01 1.56502800E-01 4.43069613E-02 3.27740834E-03 0.0475844 0.952416 2.74821428E+01 0.00000000E+00 1.16411440E+02 1.07530705E+01
1.11290814E+01 1.48485853E-01 4.35267431E-02 2.19889851E-03 0.0457256 0.954274 2.49921222E+01 0.00000000E+00 1.13713385E+02 8.05501536E+00
1.12098834E+01 1.40865197E-01 4.27399446E-02 1.24856927E-03 0.0439885 0.956011 2.28187648E+01 0.00000000E+00 1.11056489E+02 5.39811895E+00
1.12808704E+01 1.33626632E-01 4.19419809E-02 4.77384979E-04 0.0424194 0.957581 2.09311322E+01 0.00000000E+00 1.08437358E+02 2.77898853E+00
1.13432633E+01 1.26756207E-01 4.11296985E-02 9.22138227E-06 0.0411389 0.958861 1.92987488E+01 0.00000000E+00 1.05853877E+02 1.95506663E-01
1.13981852E+01 1.20239976E-01 4.03012326E-02 0.00000000E+00 0.0403012 0.959699 1.78914093E+01 0.00000000E+00 1.03304959E+02 -1.05658370E+02
1.14466558E+01 1.14063136E-01 3.94557452E-02 0.00000000E+00 0.0394557 0.960544 1.66793947E+01 0.00000000E+00 1.00790025E+02 -1.05658370E+02
