5	2.4700000000000006e-45
6	3.64e-46
7	8.42e-47
8	3.2999999999999996e-47
9	1.4299999999999999e-47
10	7.96e-48
12	2.5099999999999996e-48
14	1.31e-48
16	8.29e-49
18	6.0500000000000006e-49
20	4.79e-49
25	3.3400000000000003e-49
30	2.7900000000000005e-49
35	2.6200000000000005e-49
40	2.55e-49
45	2.5800000000000006e-49
50	2.5800000000000006e-49
60	2.7900000000000005e-49
70	2.9700000000000007e-49
85	3.2900000000000005e-49
100	3.6600000000000005e-49
200	6.460000000000001e-49
500	1.53e-48
1000	3.01e-48
